Input,Actual
write the table of 2,"Output the multiplication table of 2 from 1 to 10 in this exact format, one per line: 2 x 1 = 2, 2 x 2 = 4, etc. Do not format as a table or use Markdown. Just write the equations line by line, each separated by new line"
calculate the area of a circle with radius 5,"Calculate the area of a circle with a radius of 5 units. Use the formula pi * r^2, where pi is approximately 3.14159 and r is the radius. Output only the numerical result, rounded to two decimal places."
solve for x: 2x + 5 = 11,Solve the linear equation 2x + 5 = 11 for x. Show the steps taken to isolate x and provide the final numerical value of x.
what is the capital of France?,Identify the capital city of France. Respond with only the name of the city.
"translate ""hello world"" to Spanish","Translate the English phrase ""hello world"" into Spanish. Provide only the translated phrase."
write a short poem about autumn,"Compose a short poem, approximately 4-6 lines, about the season of autumn. Focus on imagery related to falling leaves, changing colors, and the feeling of crisp air."
summarize the plot of Hamlet,"Provide a concise summary of the plot of Shakespeare's Hamlet, limited to approximately 50-75 words. Focus on the main events and conflicts."
create a function to add two numbers in Python,Write a Python function named 'add' that takes two numerical arguments as input and returns their sum. Include a brief docstring explaining the function's purpose.
explain the concept of recursion,"Explain the concept of recursion in computer science in a clear and concise manner, suitable for someone with basic programming knowledge."
list the first 10 prime numbers,"List the first 10 prime numbers, separated by commas."
convert 100 USD to EUR,"Convert 100 United States Dollars (USD) to Euros (EUR) using the current exchange rate. Provide only the numerical result, rounded to two decimal places. Assume a reasonable exchange rate if necessary."
find the square root of 625,Calculate the square root of the number 625. Output only the numerical result.
what is the boiling point of water in Celsius?,State the boiling point of water in degrees Celsius. Respond with only the numerical value.
write a haiku about a cat,Compose a haiku (a three-line poem with a 5-7-5 syllable structure) about a cat.
generate a random password,"Generate a random password that is 12 characters long, including a mix of uppercase letters, lowercase letters, numbers, and symbols."
"sort the following numbers in ascending order: 5, 2, 8, 1, 9","Sort the numbers 5, 2, 8, 1, and 9 in ascending order. Output the sorted list, separated by commas."
calculate 15% of 200,Calculate 15% of the number 200. Output only the numerical result.
what is the population of Japan?,State the approximate population of Japan. Provide only the numerical value.
write a function to reverse a string in JavaScript,Write a JavaScript function named 'reverseString' that takes a string as input and returns the reversed string.
explain the difference between TCP and UDP,Explain the key differences between the TCP and UDP network protocols.
list the planets in our solar system,"List the planets in our solar system in order from the sun, separated by commas."
convert 32 degrees Fahrenheit to Celsius,"Convert 32 degrees Fahrenheit to Celsius. Output only the numerical result, rounded to two decimal places."
"find the largest number in the following list: 12, 45, 7, 89, 32","Identify the largest number in the list 12, 45, 7, 89, 32. Output only the numerical result."
what is the speed of light?,State the speed of light in meters per second. Respond with only the numerical value.
write a short story about a robot,"Compose a short story, approximately 100-150 words, about a robot."
summarize the theory of relativity,"Provide a concise summary of Einstein's theory of relativity, limited to approximately 50-75 words."
create a class for a dog in Java,"Write a Java class named 'Dog' with attributes for name, breed, and age. Include a constructor to initialize these attributes."
explain the concept of inheritance in object-oriented programming,Explain the concept of inheritance in object-oriented programming in a clear and concise manner.
list the first 10 Fibonacci numbers,"List the first 10 Fibonacci numbers, separated by commas."
convert 10 kg to lbs,"Convert 10 kilograms (kg) to pounds (lbs). Provide only the numerical result, rounded to two decimal places."
find the cube root of 27,Calculate the cube root of the number 27. Output only the numerical result.
what is the chemical symbol for gold?,State the chemical symbol for the element gold. Respond with only the symbol.
write a limerick about a programmer,Compose a limerick (a five-line poem with a specific rhyme scheme) about a programmer.
generate a random number between 1 and 100,Generate a random integer between 1 and 100 (inclusive). Output only the numerical result.
"sort the following words alphabetically: apple, banana, cherry, date","Sort the words apple, banana, cherry, and date alphabetically. Output the sorted list, separated by commas."
calculate the area of a triangle with base 10 and height 5,Calculate the area of a triangle with a base of 10 units and a height of 5 units. Use the formula 0.5 * base * height. Output only the numerical result.
what is the largest ocean on Earth?,State the name of the largest ocean on Earth. Respond with only the name of the ocean.
write a function to check if a number is prime in Python,"Write a Python function named 'isPrime' that takes an integer as input and returns True if the number is prime, and False otherwise."
explain the difference between HTTP and HTTPS,Explain the key differences between the HTTP and HTTPS protocols.
list the continents of the world,"List the continents of the world, separated by commas."
convert 25 degrees Celsius to Fahrenheit,"Convert 25 degrees Celsius to Fahrenheit. Output only the numerical result, rounded to two decimal places."
"find the smallest number in the following list: 12, 45, 7, 89, 32","Identify the smallest number in the list 12, 45, 7, 89, 32. Output only the numerical result."
what is the capital of Australia?,State the capital city of Australia. Respond with only the name of the city.
write a short story about a time traveler,"Compose a short story, approximately 100-150 words, about a time traveler."
summarize the plot of Romeo and Juliet,"Provide a concise summary of the plot of Shakespeare's Romeo and Juliet, limited to approximately 50-75 words. Focus on the main events and conflicts."
create a class for a car in C++,"Write a C++ class named 'Car' with attributes for make, model, and year. Include a constructor to initialize these attributes."
explain the concept of polymorphism in object-oriented programming,Explain the concept of polymorphism in object-oriented programming in a clear and concise manner.
list the first 10 even numbers,"List the first 10 even numbers, separated by commas."
convert 5 miles to kilometers,"Convert 5 miles to kilometers. Provide only the numerical result, rounded to two decimal places."
find the fourth root of 16,Calculate the fourth root of the number 16. Output only the numerical result.
what is the atomic number of oxygen?,State the atomic number of the element oxygen. Respond with only the numerical value.
write a sonnet about love,Compose a sonnet (a 14-line poem with a specific rhyme scheme) about love.
generate a random string of 8 characters,"Generate a random string that is 8 characters long, consisting of lowercase letters only."
"sort the following dates in chronological order: 2023-01-01, 2022-12-25, 2023-02-14","Sort the dates 2023-01-01, 2022-12-25, and 2023-02-14 in chronological order. Output the sorted list, separated by commas."
calculate the volume of a cube with side length 5,Calculate the volume of a cube with a side length of 5 units. Use the formula side^3. Output only the numerical result.
what is the highest mountain in the world?,State the name of the highest mountain in the world. Respond with only the name of the mountain.
write a function to calculate the factorial of a number in C,Write a C function named 'factorial' that takes an integer as input and returns its factorial.
explain the difference between a stack and a queue,Explain the key differences between the stack and queue data structures.
list the states of matter,"List the states of matter, separated by commas."
convert 100 degrees Celsius to Kelvin,Convert 100 degrees Celsius to Kelvin. Output only the numerical result.
"find the median of the following list: 1, 2, 3, 4, 5","Find the median of the list 1, 2, 3, 4, 5. Output only the numerical result."
what is the chemical formula for water?,State the chemical formula for water. Respond with only the formula.
write a villanelle about nature,Compose a villanelle (a 19-line poem with a specific rhyme scheme and repeated lines) about nature.
generate a random boolean value,Generate a random boolean value (True or False). Output only the boolean value.
"sort the following numbers in descending order: 5, 2, 8, 1, 9","Sort the numbers 5, 2, 8, 1, and 9 in descending order. Output the sorted list, separated by commas."
calculate the surface area of a sphere with radius 3,"Calculate the surface area of a sphere with a radius of 3 units. Use the formula 4 * pi * r^2, where pi is approximately 3.14159 and r is the radius. Output only the numerical result, rounded to two decimal places."
what is the smallest country in the world?,State the name of the smallest country in the world. Respond with only the name of the country.
write a function to find the maximum value in an array in C++,Write a C++ function named 'findMax' that takes an array of integers and its size as input and returns the maximum value in the array.
explain the difference between a linked list and an array,Explain the key differences between the linked list and array data structures.
list the layers of the Earth,"List the layers of the Earth, separated by commas."
convert 1000 grams to kilograms,Convert 1000 grams to kilograms. Provide only the numerical result.
