input,target
Table for fifty two,Calculate table of 52
How much is sixty eight less twenty nine?,Calculate 68 - 29
Generate table of forty two,Calculate table of 42
Calculate sixty five divided by five,Calculate 65 / 5
What is twenty six times twenty six?,Calculate 26 * 26
How much is twenty less twenty eight?,Calculate 20 - 28
Show me the multiplication of forty four and,Calculate table of 44
Calculate sixty five divided by seventy one,Calculate 65 / 71
Subtract sixty one from fifty three,Calculate 53 - 61
Generate table of sixty nine,Calculate table of 69
How much is forty five over two?,Calculate 45 / 2
What is eighty one divided by sixty nine?,Calculate 81 / 69
Generate table of forty six,Calculate table of 46
Calculate seven divided by twenty two,Calculate 7 / 22
Quotient of seventy seven and eighty please,Calculate 77 / 80
Can you print the times table of seven?,Calculate table of 7
Multiples of fifty four please,Calculate table of 54
Give me the table of eighteen,Calculate table of 18
Add eighty three and fifty nine,Calculate 83 + 59
Divide nineteen by sixty four,Calculate 19 / 64
What is seventy minus forty eight?,Calculate 70 - 48
Calculate fifty seven * thirty nine,Calculate 57 + 39
Calculate sixty seven + five,Calculate 67 + 5
Divide forty four by sixty seven,Calculate 44 / 67
Generate table of fifty six,Calculate table of 56
Give me the sum of forty three and five,Calculate 43 + 5
Calculate twenty five divided by one,Calculate 25 / 1
I want the table of twelve,Calculate table of 12
What is eleven minus sixty one?,Calculate 11 - 61
Divide twenty two by sixty nine,Calculate 22 / 69
What is seventy eight minus sixty four?,Calculate 78 - 64
Add six and three,Calculate 6 + 3
Calculate sixty three + twenty five,Calculate 63 + 25
Divide fifty five by twenty nine,Calculate 55 / 29
Quotient of fifty nine and eighty two please,Calculate 59 / 82
I want the table of twenty nine,Calculate table of 29
Calculate seventy / ninety eight,Calculate 70 / 98
I want the table of thirty seven,Calculate table of 37
Table for twelve,Calculate table of 12
What is twenty minus sixty?,Calculate 20 - 60
What is seventy seven times sixty five?,Calculate 77 * 65
How much is thirty six less seventy five?,Calculate 36 - 75
What is eighty nine divided by fourteen?,Calculate 89 / 14
I want the table of eighteen,Calculate table of 18
How much is sixty six over seventy three?,Calculate 66 / 73
Calculate ninety nine + seventy,Calculate 99 + 70
